harga,merek,model,varian,tahun,jarak_tempuh,tipe_bahan_bakar,warna,transmisi
110000000,Mercedes-Benz,E-Class,E320,1996,105.000-110.000 km,Bensin,Silver,Automatic
210000000,Chevrolet,Captiva,Lain-lain,2011,30.000-35.000 km,Diesel,Putih,Automatic Triptonic
250000000,Ford,Lain-lain,Lain-lain,<1986,>300.000 km,Bensin,Kuning,Automatic
115000000,BMW,Serie 3,323i E46 2.5,2000,100.000-105.000 km,Bensin,Silver,Automatic Triptonic
75000000,Nissan,Terrano,Kingsroad,2004,180.000-185.000 km,Bensin,Biru,Manual
165000000,Mazda,2,Lain-lain,2014,40.000-45.000 km,Bensin,Hitam,Manual
185000000,Honda,Jazz,S,2017,10.000-15.000 km,Bensin,Merah,Automatic
715000000,Jeep,Rubicon,Lain-lain,2011,5.000-10.000 km,Bensin,Hitam,Automatic Triptonic
98000000,Nissan,Grand livina,Lain-lain,2012,65.000-70.000 km,Bensin,Abu-abu,Automatic
259000000,Mitsubishi,Pajero Sport,Exceed,2013,65.000-70.000 km,Diesel,Putih,Automatic
37500000,Hyundai,Accent,GLS,2001,175.000-180.000 km,Bensin,Silver,Automatic
90000000,Ford,Fiesta,Sport,2011,75.000-80.000 km,Bensin,Abu-abu,Automatic Triptonic
73000000,Mercedes-Benz,E-Class,E320,1994,135.000-140.000 km,Bensin,Hitam,Automatic
110000000,KIA,Rio,Hatchback,2012,60.000-65.000 km,Bensin,Hitam,Manual
40000000,Isuzu,Panther,2.3,1994,80.000-85.000 km,Diesel,Putih,Manual
155000000,BMW,Serie 3,325i,2006,100.000-105.000 km,Bensin,Abu-abu,Automatic
18500000,Datsun,120,Lain-lain,<1986,5.000-10.000 km,Bensin,Coklat,Manual
35500000,Mazda,Astina,Lain-lain,1991,30.000-35.000 km,Bensin,Merah,Manual
36000000,Hyundai,Accent,GLS,2001,145.000-150.000 km,Bensin,Biru,Automatic
130000000,Ford,Ranger,Base,2012,145.000-150.000 km,Diesel,Silver,Manual
600000000,BMW,Serie 3,320i Sport,2018,10.000-15.000 km,Bensin,Putih,Automatic
168000000,Nissan,Serena,HWS,2013,80.000-85.000 km,Bensin,Hitam,Automatic
86000000,Suzuki,APV,SGX Arena,2011,40.000-45.000 km,Bensin,Marun,Manual
102000000,Volvo,V70,Lain-lain,1997,70.000-75.000 km,Bensin,Biru,Automatic
25500000,Peugeot,306,ST,1996,100.000-105.000 km,Bensin,Biru,Manual
83500000,Daihatsu,Xenia,Li Deluxe,2010,140.000-145.000 km,Bensin,Hitam,Manual
138000000,Daihatsu,Terios,TX,2011,70.000-75.000 km,Bensin,Putih,Manual
215000000,Mitsubishi,Xpander,EXCEED M/T,2018,5.000-10.000 km,Bensin,Silver,Manual
23200000,Chevrolet,Lain-lain,Lain-lain,<1986,40.000-45.000 km,Diesel,Putih,Manual
95000000,Ford,Fiesta,Trend,2013,10.000-15.000 km,Bensin,Merah,Automatic
115000000,Ford,Everest,XLT,2008,170.000-175.000 km,Diesel,Silver,Manual
22500000,Mazda,Vantrend,Lain-lain,1994,55.000-60.000 km,Bensin,Biru,Manual
415000000,Hino,Lain-lain,Lain-lain,2013,200.000-205.000 km,Diesel,Hijau,Manual
45000000,Toyota,Corolla,Lain-lain,1993,200.000-205.000 km,Bensin,Merah,Manual
69000000,Ford,Fiesta,Sport+,2013,0-5.000 km,Bensin,Merah,Automatic
205000000,Honda,Jazz,RS CVT,2016,50.000-55.000 km,Bensin,Abu-abu,Automatic Triptonic
449000000,Mitsubishi,Pajero Sport,Dakar,2018,15.000-20.000 km,Diesel,Hitam,Automatic Triptonic
225000000,Mitsubishi,Xpander,ULTIMATE A/T,2018,10.000-15.000 km,Bensin,Hitam,Automatic
469000000,BMW,Serie 3,320i M Sport,2016,15.000-20.000 km,Bensin,Hitam,Automatic Triptonic
105000000,Ford,Fiesta,Trend,2013,30.000-35.000 km,Bensin,Silver,Automatic Triptonic
